pais,ID,conID,isla,estado,ca1,ca10,ca11,ca12,ca14,ca15,ca16,ca2,ca20,ca3,ca4,ca5,ca6,ca7,ca8,ca9,crim1,crim2,deg1,deg10,deg11,deg13,deg14,deg15,deg17,deg18,deg19,deg2,deg3,deg4,deg5,deg6,deg7,deg8,deg9,est1,est15_1,est17_1,est2,est3,est4,est5_2,est7,est9
América Central,,0,,,48,,,,,,,40,44.65759,,55.87609,,39,3.78854,17.68,3.07,,,,,,68.57332,,700248.458,,41,17.68,,,1597.89,,4.21509,,88.82667,8.34226,,8,,,,,,,1
América del Sur,,0,,,80,,,,,,,34,31.17801,,57.0857,,44,2.02716,36.11,3.52,,,,,,42.77722,,821042.1971,,24,36.11,,,1104.77,,-5.2918,,66.09084,9.06499,,12,,,,,,,1
América Latina,,0,,,,,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
América Latina y el Caribe,,0,,,75,,,,,39.46001,3.1,34,31.27058,,56.97547,12.58303,43,2.29122,30.85,3.32,26,1.7,38.70392,,,47.74699,254,46418.3789,,27,30.85,,6.82,3063.66,,-3.94714,15.22795256,72.85168,8.82187,,33,3,,,1465.99,235.12,17,1
Anguila,3,1,1,0,,0,,100,,0.0677,0,,,,,,,0,0.49,,,,,,,,4,,,,0.49,,,0.01,,16.40527,,,,,,,,,0.05,,0,
Antigua y Barbuda,9,1,1,0,,,,100,,0.29995,1.4,,,,0,123.10211,35,0.19,0.91,3.45,27,0.1,8.21,,,123.72684,1,,0.59775,,0.91,0,8.46154,0.21,,0.49028,8.511666528,73.90935,,0.6,1,,100,,19.55,0.19,0,1
Argentina,4,1,0,1,,1073099.976,771060,92.45213,,8.09548,8.9,51,6.6261,,17.95,12.6975,0,,10.74,3.35,34,0.4,61.6,771366,20854900.39,95.37872,15,6801203.237,338.96335,39,10.74,3596,10.45666,,,-10.02869,11.26171984,72.4322,,0.75,1,,,,474.46,21.67,1,1
Aruba,10,1,1,0,,,,,,0.00011,0,,,,,,,0,7.48,3.2,,,,,,424.17165,,,,,7.48,,,0.21,,-17.90799,,73.91382,,,,,,,,,0,
Bahamas,12,1,1,0,,,,,,7.82091,0.4,,,,,,34,0.3,1.14,2.53,22,0.1,232.4,,,160.59439,370,498357.3732,0.72458,,1.14,24,,112.52,,22.01934,5.241534466,73.92343,,,1,,,,0.56,0.21,0,
Barbados,14,1,1,0,,,,,,0.15996,0.1,,4.7619,,,51.87106,46,0,4.31,3.54,56,0.2,47.6,,,0,1,2485.46006,1.979,,4.31,3,87.5,0,,-22.50285,10.44453871,73.91536,,1,1,,0,,34.1,2.28,0,1
Belice,15,1,1,0,,,775,100,,18.85834,14.2,,56.8137,,78.95,13.8835,21,2.45,29.09,6.12,24,1,339.18,775,,0,8,1180477.547,1.20282,81,29.09,189,1.26029,68.23,,-1.12963,11.68054542,52.6805,,,1,,,,0.26,0.23,0,
Bolivia (Estado Plurinacional de),2,1,0,1,,,,,,0,0,53,23.8946,117.45725,,14.13494,52,,8.67,3.82,33,5.6,6.19,,,23.16889,28,,43.6651,18,8.67,3672,1.177,,,-23.56699,22.80156227,80.08368,,0.6,1,,100,,0.9,2.97,1,
Bonaire,16,1,1,0,,,,,,99.98749,,,16.7539,,,,,0,12.41,,,,,,,,,2743364.145,,,12.41,,,0.48,,,,,,,,,,,,,0,
Brasil,1,1,0,1,86,1023469.91,,,,26.54438,20.5,49,29.6848,3805.0227,71.02,21.09312,63,1.63,47.57,3.93,25,1,260.5,,,28.23082,11,4741.20201,1014.70238,27,47.57,59124,1.55064,535.26,40684.8134,-2.13214,11.6201707,59.59885,,,1,,,1,50.98,70.22,1,1
Chile,7,1,0,1,99,,,,,41.04961,3.9,79,21.6157,,84.02,7.38074,32,,25.26,3.66,27,0.2,277.92,,,57.95508,6,3741894.67,108.80002,1,25.26,4424,21.61926,,,1.62066,20.33053739,73.92063,,0.9,1,,62.31884,,209.27,4.98,1,1
Colombia,5,1,0,1,73,,,96.63724,1,13.28496,16.9,18,20.6957,84.23864,,9.57245,57,1.25,30.72,2.51,26,0.8,110.66,,,16.4257,25,426618.6741,153.88477,7,30.72,19819,4.18912,214.01,1057.2119,-6.95443,14.25357557,70.43183,,1,1,1,77.67695,1,152.51,17.11,1,1
Costa Rica,8,1,0,1,81,,,,1,2.66405,15.8,30,44.0808,354.15885,68.48,17.3839,51,0.63,35.76,2.11,21,0.9,268.99,,,28.85843,3,1672655.84,12.11403,9,35.76,9209,5.2108,15.23,424.95811,-0.15188,15.12462767,72.43272,,0.925,1,1,100,,0.68,2.08,1,1
Cuba,52,1,0,1,,195800,261835,94.6663,,4.01956,7.6,37,20.3518,,,12.84937,82,0.5,21.54,1.27,54,1,20.31,261835,,,6,6047124.323,36.29671,,21.54,,23.93945,191.69,,21.55274,14.70652541,72.43226,,,1,,,1,5.67,3.16,1,1
Curaçao,19,1,1,0,,14193,,91.75673,,0.03817,,,,,,,,1.76,2.68,8.34,,,,,,,,1930485.936,,,2.68,,,0.21,,,,73.91037,,,,,,,,,0,
Dominica,20,1,1,0,,,,,,0.10743,0.1,,44.7044,,,,47,0,8.05,2.97,,,198,627,,0,64,,0.21153,,8.05,,10,0,,-67.2168,8.679447955,72.42409,,,1,,,,8.94,0.03,0,
Ecuador,51,1,0,1,67,49077,,,,13.3386,75.7,42,25.4203,83.78747,,9.13022,38,2.9,17.73,3.26,18,0.6,155.08,14877.95313,4880950.684,40.56678,6,740643.9129,60.19163,30,17.73,12359,6.78235,104.61,83.78747,12.80059,14.97401918,72.43234,4.71897,0.675,1,,89.14027,,60.12,12.03,1,1
El Caribe,,0,1,0,,,,,,,1.3,,19.81445,,,,59,0.40486,20.83,,,,,,,10.96763,,35389.65614,,,20.83,,,361,,24.11355,,74.03514,,,13,,,,,,,1
El Salvador,17,1,0,1,,,5.86,,,0.7033,9.5,,2.8035,,59.68,10.44406,23,1.32,19.39,3.37,30,2,48.6,,,44.85468,5,13670.03032,11.069,16,19.39,5,2.42732,16.42,,0.1695,21.82089304,80.08431,,,1,1,,,1.18,2.11,1,1
Ex Antillas Neerlandesas,,0,1,0,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,-6.45405,,,,,,,,,,,,
Granada,23,1,0,1,87.11527,,,,,0.10242,0.1,,13.1073,,,,31,0.8,10.37,2.68,39,0.3,,,,0,39,3625093.164,,,10.37,,7.05,0.02,,-30.6968,11.71855376,72.43087,,0.925,1,,,,0.72,2.02,0,
Guadalupe,26,1,1,0,98,18130,23374,57.2172,,99.91641,11.4,,31.9441,,,,,0.59,3,,,,,12013,,,4,,,,3,,,0.13,,4.97127,,,,,,,,,,,0,
Guatemala,25,1,0,1,56,15400,12363.62988,,,4.14365,13,,51.485,,,18.52727,21,3.37,62.92,4.24,21,6.3,133.09,15563.62988,,0.02743,136,250689.2168,22.94827,24,62.92,2839,5.7421,13.73,,-0.09242,21.58773586,72.43226,,0.375,1,1,75.58824,,56.59,1.94,1,1
Guayana Francesa,21,1,0,1,91,0,2050,99.60894,,0.99845,,,30.7344,,,,,21.34,29.4,,,,,2317,,,,,,,29.4,,,24.61,,24.98145,,,,,,,,,,,0,
Guyana,13,1,0,1,,,,,,,0.2,,5.4059,,67.76,2.58468,19,6.91,11.35,3.98,45,3.6,55.4,,,0.05818,34,4524475.24,2.89131,16,11.35,13,3.2984,26.53,,11.94847,12.92016511,72.43448,,0.6,1,,,,14.63,0.16,0,
Haití,22,1,0,1,,,,,,2.66661,0,,8.7447,,,4.66065,30,0.33,76.4,5.8,38,23.8,,,,2.74429,10,,6.68312,,76.4,7,13.38379,17.58,,10.73246,9.822189466,83.18688,,0.5,1,1,,,39.51,1.47,0,
Honduras,45,1,0,1,,,,,,4.71477,3.3,50,31.7841,,,13.00359,25,2.63,45.96,4.3,18,3.6,100.43,,,5.18589,55,,15.97715,,45.96,865,4.62127,88.16,,11.31102,20.42901816,80.08357,,,1,1,,,0.96,2.92,0,1
Islas Caimán,27,1,1,0,,,,,,0.07767,1.2,,12.3428,1.37477,,,,0.18,0,2.06,,,,,,,2,231897.7846,,,0,,,1.73,,82.59859,,73.86614,,,,,,,,,0,
Islas Malvinas,28,1,1,0,,,,,,7.19658,,,,,,,,,4.6,,,,,,,,,,,,4.6,,,,,4.97834,,,,,,,,,,,0,
Islas Turcas y Caicos,29,1,1,0,,,,,,2.34188,1,,,,,,,0.54,0.45,4.71,,,,,,,4,,,,0.45,,,11.03,,18.89841,,73.93238,,,,,,,,,0,
Islas Vírgenes Británicas,30,1,1,0,,0,,0,,0.00413,2.1,,,,,,,0,1.23,,,,,,,,9,2499565.041,,,1.23,,,0.01,,5.36942,,73.83955,,,,,,,,,0,
Islas Vírgenes de los Estados Unidos,33,1,1,0,98,,,,,0.85213,2,,,,,,,0.58,3.66,,,,,,,,7,453534.4669,,,3.66,,,0.03,,-13.46591,,73.93561,,,,,,,,,0,
Jamaica,49,1,0,1,,,8435,100,,0.7546,4.6,,22.8605,,57.21,8.8823,50,0.83,9.09,4.45,23,0.6,43.44,10000,1012656.006,0.12676,1,2404118.298,14.91849,,9.09,177,12.47344,6.96,,2.70462,15.15303699,72.43273,,0.075,1,,100,,0.18,0.54,0,1
Martinica,35,1,1,0,99,9549,8525,30.49857,,99.85602,0.7,,25.6385,,,,,0.57,2.54,,,,,4399,,,1,,,,2.54,,,0.01,,-4.58866,,,,,,,,,,,0,
México,50,1,0,1,43,,,,,21.29419,19,57,12.5163,6032,54.91,13.08019,42,4.24,10.34,3.06,23,1.1,97.56,,,91.58764,68,1057973.489,605.88732,47,10.34,25318,44.71843,1301.97,13455.75814,13.77709,18.14716827,93.90017,,0.925,1,,100,0.75,338.65,46.76,1,1
Montserrat,36,1,1,0,,0,,,,0,0,,46.4,,,,,,0.42,,,,,,690,0,,,,,0.42,,,,,-89.92204,,,,,,,,,0.14,,0,
Mundo,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.86,,
Nicaragua,31,1,0,1,56,,,,,15.93772,37.7,,34.2459,,,6.39175,30,2.07,50.71,4.68,18,2.2,48.69,,,3.34126,20,621667.5011,11.98064,,50.71,1544,2.69243,57.67,,-0.26037,17.39179999,80.08366,,,1,,,0.875,7.66,1.06,1,
Panamá,38,1,0,1,,,3094.69995,100,,11.50356,7.4,,47.3201,172.68061,64.36,50.08728,33,0.37,18.91,1.54,17,1.9,39.36,3094.69995,,0,1,5295090.407,9.70774,14,18.91,636,0.90107,36.48,323.39158,13.54515,11.95780852,73.92007,,0.275,1,,,,90.01,2.5,1,
Paraguay,32,1,0,1,64,,,,,0,0,60,,,71.61,14.0876,27,,60.09,3.39,20,1.5,111.45,,,10.45874,10,1062838.244,45.23073,52,60.09,7338,1.8354,,,9.31015,11.95469272,72.43176,,0.6,1,1,,,1.16,7.72,0,
Perú,37,1,0,1,51,54639.999,,,,0.48148,6.8,53,31.2195,634.47537,25.41,4.98327,41,1.54,27.12,2.6,33,1.3,89.31,,7781903.809,4.69219,23,4107200.729,84.564,,27.12,3741,7.18145,3.7,833.30284,-4.88617,27.99451638,72.43225,,1,1,1,35.85913,1,1.09,11.39,1,1
Puerto Rico,39,1,0,1,100,,,,,1.81716,1.8,33,9.8587,,,28.91322,,0.1,2.42,0.63,,,,,,0,1,684838.0852,,,2.42,,19.53561,4.16,,30.40458,,73.92067,,,,,,,,,1,
República Dominicana,47,1,0,1,,,,,1,16.62325,31.4,,,,70.59,8.766,36,0.23,13.98,2.08,28,2.2,139.92,,,0.05974,2,4872619.694,25.23077,,13.98,2525,39.55331,9.98,,50.72725,7.556016746,72.43245,,,1,,,0.969,42.67,2.68,1,1
Saint Kitts y Nevis,,0,1,0,,,,,,3.97753,0.5,,,,,,23,0.56,1.58,2.58,,,4.35,,,0,5,1538667.068,,,1.58,0,50.83333,0.02,,-5.44089,8.267522324,73.8732,,,1,,,0.575,18.41,0.08,0,
San Martín (parte de los Países Bajos),,0,1,0,,,,,,8.72647,,,0,,,,,,0.05,8.62,,,,,,,,544322.5173,,,0.05,,,,,,,73.93995,,,,,,,,,0,
San Vicente y las Granadinas,18,1,1,0,,5700,0.15,84.92063,,0.21694,1.2,,46.0056,,,,24,0,5.68,2.48,42,1.3,,0.15,,35.06665,0,4061116.474,0.38102,,5.68,,7.9,0.01,,-61.94544,10.60527063,72.43675,,0.525,1,1,,,3.1,0.06,0,
Santa Lucía,34,1,1,0,,,4730,100,,0.21306,0.2,,44.8243,,,,40,0.31,9.75,2.84,34,0.6,64.03,,,0,1,1982561.263,0.6476,,9.75,13,14.3,0.01,,13.34379,9.843530077,72.43414,,0.825,1,,,,9.77,0.26,0,1
Suriname,42,1,0,1,56,3225,,,,1.54475,22.9,25,12.3941,,,7.00703,23,14.39,14.4,3.97,39,2,116.87,0.879,,335.10647,2,659674.1535,3.33,21,14.4,35,3.95061,76.51,,9.00668,13.28285329,72.43677,6.76686,,1,,,,22.5,0.1,0,
Trinidad y Tabago,48,1,1,0,,,,,,0.01248,3,,8.4676,85.5341,87.5,57.64257,34,0.39,0.43,19.9,44,0.1,174.47,123914.1328,,229.14355,3,3285571.066,,,0.43,79,20.32648,4.68,,4.31585,12.95819037,73.92241,,0.75,1,,100,,,1.24,0,
Uruguay,46,1,0,1,,0,,,,0.75245,1.8,,2.0255,,75.85,13.33508,34,,60.76,2.77,28,0.4,171.87,,,0,8,244068.9075,32.00648,26,60.76,1561,9.7861,,,10.79754,8.281638105,73.92011,,0.6,1,,100,,18.29,2.01,1,
Venezuela (República Bolivariana de),44,1,0,1,,,,,,4.35,16.8,23,97.6913,,,4.99322,0,2.14,15.62,,26,1.4,98.36,,,167.37572,46,2108749.787,,15,15.62,1662,7.54037,119.54,,-0.29545,17.63711993,72.43209,,,1,,,,0.39,10.96,1,
